Day of the Week,Field Contact Date,Street Number,Street Name,City
Wed,01/09/2019 07:50:00 PM,1800,JUNEWAY TER,CHICAGO
Wed,01/09/2019 07:50:00 PM,1800,JUNEWAY,CHICAGO
Wed,01/09/2019 05:06:00 PM,200,CALLAN AV,EVANSTON
Tue,01/08/2019 09:35:00 PM,2000,EMERSON ST,EVANSTON
Tue,01/08/2019 04:21:00 PM,500,ASBURY AV/SOUTH BL,EVANSTON
Mon,01/07/2019 06:24:00 PM,100,CHICAGO AV,EVANSTON
Mon,01/07/2019 03:06:00 PM,1100,SOUTH BL,EVANSTON
Mon,01/07/2019 03:06:00 PM,1100,SOUTH BL,EVANSTON
Mon,01/07/2019 03:06:00 PM,1100,SOUTH BL,EVANSTON
Mon,01/07/2019 03:06:00 PM,1100,SOUTH BL,EVANSTON
Sat,01/05/2019 03:51:00 PM,900,NOYES ST,EVANSTON
Sat,01/05/2019 02:41:00 PM,400,HOWARD ST,EVANSTON
Sat,01/05/2019 02:41:00 PM,400,HOWARD ST,EVANSTON
Sat,01/05/2019 01:48:00 PM,2300,FOSTER ST,EVANSTON
Sat,01/05/2019 02:35:00 AM,2000,MAIN ST/BROWN AV,EVANSTON
Sat,01/05/2019 12:30:00 AM,2000,MAIN ST/BROWN AV,EVANSTON
Fri,01/04/2019 03:36:00 PM,1600,PITNER AV,EVANSTON
Fri,01/04/2019 02:20:00 PM,2300,JACKSON AV,EVANSTON
Thu,01/03/2019 11:12:00 PM,1100,CHICAGO AV,EVANSTON
Thu,01/03/2019 06:50:00 PM,100,RIDGE AV,EVANSTON
Tue,01/01/2019 06:45:00 PM,2500,CHURCH ST,EVANSTON
Mon,12/31/2018 10:20:00 AM,2700,RIDGE AV,EVANSTON
Mon,12/31/2018 02:54:00 AM,600,PITNER AV,EVANSTON
Sun,12/30/2018 01:09:00 PM,400,HOWARD ST,EVANSTON
Sun,12/30/2018 03:50:00 AM,1000,DAVIS ST,EVANSTON
Sat,12/29/2018 08:02:00 PM,1700,ORRINGTON AV,EVANSTON
Sat,12/29/2018 07:16:00 PM,7500,WESTERN,CHICAGO
Sat,12/29/2018 04:42:00 PM,1800,LAKE ST,EVANSTON
Thu,12/27/2018 04:55:00 PM,600,DEWEY AV,EVANSTON
Thu,12/27/2018 12:49:00 PM,1900,GREENLEAF ST/DODGE AV,EVANSTON
Wed,12/19/2018 06:03:00 PM,2400,MAIN ST,EVANSTON
Wed,12/19/2018 04:11:00 AM,1000,ASBURY AV,EVANSTON
Wed,12/19/2018 03:39:00 AM,,HOWARD/HOYNE,
Wed,12/19/2018 12:16:00 AM,600,SOUTH BLVD,
Mon,12/17/2018 02:05:00 PM,1800,CHURCH ST/DARROW AV,EVANSTON
Mon,12/17/2018 12:49:00 AM,1600,EMERSON ST,EVANSTON
Sat,12/15/2018 03:41:00 PM,7600,N WESTERN AV,CHICAGO
Sat,12/15/2018 03:39:00 PM,100,ASBURY AV,EVANSTON
Fri,12/14/2018 02:41:00 AM,1400,NOYES ST,EVANSTON
Thu,12/13/2018 03:37:00 AM,300,DODGE AV,EVANSTON
Wed,12/12/2018 08:58:00 PM,1100,CHICAGO AV,EVANSTON
Wed,12/12/2018 07:35:00 PM,200,CUSTER AV,EVANSTON
Wed,12/12/2018 03:42:00 PM,2100,RIDGE AV,EVANSTON
Mon,12/10/2018 01:32:00 AM,1600,CHURCH ST,EVANSTON
Fri,12/07/2018 02:40:00 AM,2300,HOWARD ST,EVANSTON
Mon,12/03/2018 11:31:00 AM,1600,DODGE AV,EVANSTON
Mon,12/03/2018 11:31:00 AM,1600,DODGE AV,EVANSTON
