Day of the Week,Field Contact Date,Street Number,Street Name,City
Fri,06/08/2018 06:10:00 PM,300,HOWARD ST,EVANSTON
Fri,06/08/2018 06:05:00 PM,300,HOWARD ST,EVANSTON
Fri,06/08/2018 01:23:00 AM,1900,GREEN BAY RD,EVANSTON
Thu,06/07/2018 03:36:00 PM,1000,MCDANIEL AV,EVANSTON
Thu,06/07/2018 12:10:00 AM,600,HOWARD ST,EVANSTON
Wed,06/06/2018 08:46:00 AM,600,CASE PL,EVANSTON
Wed,06/06/2018 08:46:00 AM,600,CASE PL,EVANSTON
Wed,06/06/2018 08:46:00 AM,600,CASE PL,EVANSTON
Wed,06/06/2018 08:46:00 AM,600,CASE PL,EVANSTON
Wed,06/06/2018 08:46:00 AM,600,CASE PL,EVANSTON
Wed,06/06/2018 08:46:00 AM,600,CASE PL,EVANSTON
Tue,06/05/2018 06:26:00 PM,700,DOBSON ST,EVANSTON
Tue,06/05/2018 04:00:00 PM,2500,POPLAR AV,EVANSTON
Tue,06/05/2018 03:55:00 PM,1900,CENTRAL ST,EVANSTON
Tue,06/05/2018 03:11:00 PM,700,HULL TER/CUSTER AV,EVANSTON
Mon,06/04/2018 10:07:00 AM,2000,W HOWARD ST,CHICAGO
Fri,06/01/2018 07:42:00 PM,100,SHERIDAN RD,EVANSTON
Fri,06/01/2018 07:36:00 PM,100,SHERIDAN RD,EVANSTON
Fri,06/01/2018 07:34:00 PM,100,SHERIDAN RD,EVANSTON
Fri,06/01/2018 07:25:00 PM,100,SHERIDAN RD,EVANSTON
Fri,06/01/2018 01:56:00 PM,2100,DARROW AV,EVANSTON
Fri,06/01/2018 01:48:00 PM,2000,DARROW AV,EVANSTON
Fri,06/01/2018 01:48:00 PM,2000,DARROW AV,EVANSTON
Thu,05/31/2018 08:10:00 PM,300,CUSTER AV,EVANSTON
Thu,05/31/2018 08:10:00 PM,300,CUSTER AV,EVANSTON
Thu,05/31/2018 06:24:00 PM,2400,MAIN ST,EVANSTON
Thu,05/31/2018 06:24:00 PM,2400,MAIN ST,EVANSTON
Thu,05/31/2018 01:00:00 PM,1000,OAK ST,WINNETKA
Thu,05/31/2018 03:21:00 AM,1900,DEMPSTER ST,EVANSTON
Tue,05/29/2018 12:36:00 PM,1500,CHICAGO AV,EVANSTON
Mon,05/28/2018 08:13:00 PM,800,MAIN ST,EVANSTON
Mon,05/28/2018 05:19:00 PM,1900,OAKTON ST,EVANSTON
Mon,05/28/2018 04:11:00 PM,1200,DODGE AV,EVANSTON
Sun,05/27/2018 07:53:00 PM,1900,CHURCH ST,EVANSTON
Sun,05/27/2018 07:39:00 PM,,SHERIDAN/HOWARD,CHICAGO
Sat,05/26/2018 06:34:00 PM,600,HOWARD ST,EVANSTON
Sat,05/26/2018 03:41:00 PM,700,MULFORD ST,EVANSTON
Sat,05/26/2018 04:52:00 AM,1000,LAKE ST,EVANSTON
Thu,05/24/2018 06:53:00 PM,1700,EMERSON ST,EVANSTON
Tue,05/22/2018 08:49:00 PM,500,ASBURY AV,EVANSTON
Tue,05/22/2018 08:49:00 PM,500,ASBURY AV,EVANSTON
Tue,05/22/2018 06:04:00 PM,1000,DAVIS ST,EVANSTON
Tue,05/22/2018 03:20:00 PM,1900,CHURCH ST/DODGE AV,EVANSTON
Tue,05/22/2018 12:43:00 AM,400,RIDGE AV,EVANSTON
Mon,05/21/2018 05:12:00 PM,400,ASBURY AV,EVANSTON
Mon,05/21/2018 04:30:00 PM,100,RIDGE AV,EVANSTON
Fri,05/18/2018 07:27:00 PM,1400,CHICAGO AV,EVANSTON
Tue,05/15/2018 04:00:00 PM,2800,CENTRAL ST,EVANSTON
Mon,05/14/2018 05:05:00 PM,600,DODGE AV,EVANSTON
Fri,05/11/2018 11:15:00 PM,600,SOUTH BL,EVANSTON
Fri,05/11/2018 09:56:00 PM,600,SOUTH BL,EVANSTON
Fri,05/11/2018 09:56:00 PM,600,SOUTH BL,EVANSTON
Fri,05/11/2018 09:56:00 PM,600,SOUTH BL,EVANSTON
Fri,05/11/2018 09:56:00 PM,600,SOUTH BL,EVANSTON
Thu,05/10/2018 07:14:00 PM,1800,LYONS ST,EVANSTON
Thu,05/10/2018 07:01:00 PM,7300,WINCHESTER,CHICAGO
Wed,05/09/2018 08:05:00 PM,2700,MAIN,SKOKIE
Tue,05/08/2018 06:22:00 PM,2700,BRYANT AV,EVANSTON
Tue,05/08/2018 05:11:00 PM,2700,BRYANT AV,EVANSTON
Tue,05/08/2018 05:11:00 PM,2700,BRYANT AV,EVANSTON
Mon,05/07/2018 06:47:00 PM,1700,DARROW AV,EVANSTON
Sun,05/06/2018 06:32:00 PM,2000,BROWN AV,EVANSTON
Wed,05/02/2018 08:01:00 PM,1700,FOSTER ST,EVANSTON
Wed,05/02/2018 04:00:00 PM,1700,FOSTER ST,EVANSTON
Tue,05/01/2018 05:40:00 PM,700,DOBSON ST,EVANSTON
Mon,04/30/2018 06:50:00 PM,1200,HULL TER,EVANSTON
Mon,04/30/2018 06:47:00 PM,1200,HULL TER,EVANSTON
Sun,04/29/2018 08:06:00 AM,1800,FOSTER ST,EVANSTON
Sun,04/29/2018 08:06:00 AM,1800,FOSTER ST,EVANSTON
Sun,04/29/2018 08:06:00 AM,1800,FOSTER ST,EVANSTON
Sun,04/29/2018 12:48:00 AM,2100,DARROW AV,EVANSTON
Sat,04/28/2018 09:50:00 PM,2100,CLEVELAND ST,EVANSTON
Sat,04/28/2018 09:50:00 PM,2100,CLEVELAND ST,EVANSTON
Sat,04/28/2018 12:03:00 AM,2100,GREEN BAY RD/SIMPSON ST,EVANSTON
Fri,04/27/2018 05:45:00 PM,1100,HOWARD ST,EVANSTON
Fri,04/27/2018 02:43:00 PM,1200,GREENWOOD ST/RIDGE AV,EVANSTON
Fri,04/27/2018 02:14:00 PM,700,HOWARD ST,EVANSTON
Fri,04/27/2018 01:21:00 PM,1900,RIDGE AV,EVANSTON
Fri,04/27/2018 11:16:00 AM,1500,ELMWOOD AV,EVANSTON
Fri,04/27/2018 02:05:00 AM,500,ASBURY AV/SOUTH BL,EVANSTON
Thu,04/26/2018 03:54:00 PM,1700,HOVLAND CT,EVANSTON
Wed,04/25/2018 07:48:00 PM,9400,CENTRAL PARK,SKOKIE
Tue,04/24/2018 07:51:00 AM,1800,EMERSON ST,EVANSTON
Tue,04/24/2018 12:15:00 AM,1400,CHICAGO AV,EVANSTON
Mon,04/23/2018 06:00:00 PM,1900,EMERSON ST,EVANSTON
Mon,04/23/2018 06:00:00 PM,1900,EMERSON ST,EVANSTON
Sun,04/22/2018 04:28:00 AM,1800,SIMPSON ST,EVANSTON
Sat,04/21/2018 05:04:00 PM,1600,MONROE ST,EVANSTON
Fri,04/20/2018 08:47:00 PM,900,CHICAGO AV,EVANSTON
Fri,04/20/2018 06:15:00 PM,7500,N WESTERN,CHICAGO
Fri,04/20/2018 04:05:00 PM,1300,SEWARD ST/ASBURY AV,EVANSTON
Wed,04/18/2018 04:15:00 AM,400,ELMWOOD AV,EVANSTON
Wed,04/18/2018 01:58:00 AM,2000,DARROW AV,EVANSTON
Mon,04/16/2018 08:10:00 PM,1300,HOWARD ST,EVANSTON
Sun,04/15/2018 07:52:00 PM,2100,SHERIDAN RD,EVANSTON
Sat,04/14/2018 04:50:00 PM,600,CUSTER AV,EVANSTON
Sat,04/14/2018 04:44:00 PM,600,CUSTER AV,EVANSTON
Sat,04/14/2018 12:40:00 AM,2500,HOWARD ST,EVANSTON
Fri,04/13/2018 08:28:00 PM,2300,GREEN BAY RD,EVANSTON
Fri,04/13/2018 07:42:00 PM,2000,OAKTON ST,EVANSTON
Fri,04/13/2018 06:49:00 PM,2000,OAKTON ST,EVANSTON
Thu,04/12/2018 02:00:00 AM,2000,WESLEY AV,EVANSTON
Wed,04/11/2018 04:07:00 PM,,MCCORMICK BL/GOLF RD,SKOKIE
Tue,04/10/2018 08:19:00 PM,2700,BRYANT AV,EVANSTON
Tue,04/10/2018 05:34:00 PM,200,RICHMOND AV,EVANSTON
Tue,04/10/2018 05:34:00 PM,200,RICHMOND AV,EVANSTON
Tue,04/10/2018 05:34:00 PM,200,RICHMOND AV,EVANSTON
Thu,04/05/2018 02:30:00 AM,400,SHERMAN AV,EVANSTON
Thu,04/05/2018 01:28:00 AM,2000,FOSTER ST/BROWN AV,EVANSTON
Wed,04/04/2018 03:36:00 PM,1900,DODGE AV,EVANSTON
Sun,04/01/2018 03:31:00 AM,1500,EMERSON ST,EVANSTON
Sat,03/31/2018 11:56:00 PM,1800,ASHLAND AV,EVANSTON
Sat,03/31/2018 06:39:00 PM,100,CLYDE AV,EVANSTON
Thu,03/29/2018 07:14:00 PM,2300,OAKTON ST,EVANSTON
Thu,03/29/2018 07:14:00 PM,2300,OAKTON ST,EVANSTON
Thu,03/29/2018 07:14:00 PM,2300,OAKTON ST,EVANSTON
Thu,03/29/2018 03:22:00 AM,2600,ELGIN RD/MCDANIEL AV,EVANSTON
Thu,03/29/2018 12:45:00 AM,600,SHERIDAN SQ,EVANSTON
Wed,03/28/2018 11:40:00 PM,500,CUSTER AV/OAKTON ST,EVANSTON
Wed,03/28/2018 09:01:00 PM,900,DEMPSTER ST,EVANSTON
Tue,03/27/2018 11:46:00 PM,1300,HOWARD ST,EVANSTON
Mon,03/26/2018 09:01:00 PM,1400,W HOWARD ST/N SHERIDAN RD,CHICAGO
Sat,03/24/2018 01:01:00 AM,100,CHICAGO AV,EVANSTON
Fri,03/23/2018 07:10:00 PM,600,SHERMAN AV,EVANSTON
Fri,03/23/2018 01:32:00 PM,400,ASBURY AV,EVANSTON
Thu,03/22/2018 08:19:00 PM,100,CHICAGO AV,EVANSTON
Wed,03/21/2018 05:21:00 AM,2200,GREEN BAY RD,EVANSTON
Tue,03/20/2018 01:02:00 AM,9500,LINCOLNWOOD DR,SKOKIE
Mon,03/19/2018 04:58:00 PM,100,DODGE AV,EVANSTON
Sun,03/18/2018 05:56:00 AM,1900,ASBURY AV,EVANSTON
Sat,03/17/2018 07:11:00 PM,300,BARTON AV/HARVARD TER,EVANSTON
Sat,03/17/2018 07:11:00 PM,300,BARTON AV/HARVARD TER,EVANSTON
Sat,03/17/2018 06:27:00 PM,2000,HARRISON ST,EVANSTON
Fri,03/16/2018 04:28:00 PM,600,CASE PL,EVANSTON
Thu,03/15/2018 05:06:00 AM,1400,CHURCH ST,EVANSTON
Thu,03/15/2018 03:27:00 AM,,HOWARD/SHERIDAN,
Thu,03/15/2018 01:56:00 AM,,HOWARD/SHERIDAN,CHICAGO
Wed,03/14/2018 07:18:00 PM,1100,BRUMMEL ST,EVANSTON
Wed,03/14/2018 07:18:00 PM,1100,BRUMMEL ST,EVANSTON
Wed,03/14/2018 07:18:00 PM,1100,BRUMMEL ST,EVANSTON
Wed,03/14/2018 05:30:00 AM,1800,GREY AV,EVANSTON
Tue,03/13/2018 05:28:00 PM,900,DODGE AV,EVANSTON
Mon,03/12/2018 08:56:00 AM,2700,RIDGE AV,EVANSTON
Sat,03/10/2018 09:36:00 PM,600,DEWEY AV/KEENEY ST,EVANSTON
Sat,03/10/2018 03:56:00 PM,1300,HOWARD ST,EVANSTON
Fri,03/09/2018 07:22:00 PM,1300,HOWARD ST,EVANSTON
Fri,03/09/2018 01:55:00 AM,1900,GREENLEAF ST,EVANSTON
Thu,03/08/2018 04:47:00 PM,1400,GREY AV,EVANSTON
Thu,03/08/2018 03:49:00 PM,,DEMPSTER/EWING,SKOKIE
Thu,03/08/2018 03:46:00 PM,,DEMPSTER/EWING,SKOKIE
Thu,03/08/2018 03:25:00 PM,1700,DARROW AV,EVANSTON
Thu,03/08/2018 02:20:00 PM,,DEMPSTER/EWING,SKOKIE
Thu,03/08/2018 02:20:00 PM,,DEMPSTER/EWING,SKOKIE
Wed,03/07/2018 07:30:00 PM,1900,CENTRAL ST,EVANSTON
Tue,03/06/2018 10:25:00 PM,1800,W HOWARD,CHICAGO
Tue,03/06/2018 04:53:00 PM,7400,N CLARK ST,CHICAGO
Tue,03/06/2018 02:59:00 PM,1600,OAKTON ST,EVANSTON
Tue,03/06/2018 02:59:00 PM,1600,OAKTON ST,EVANSTON
Tue,03/06/2018 02:59:00 PM,1600,OAKTON ST,EVANSTON
Sun,03/04/2018 04:26:00 AM,1400,CHICAGO AV,EVANSTON
Sat,03/03/2018 12:29:00 AM,100,CALLAN AV,EVANSTON
Sat,03/03/2018 12:29:00 AM,100,CALLAN AV,EVANSTON
Fri,03/02/2018 12:56:00 PM,1100,HOWARD ST,EVANSTON
Thu,03/01/2018 07:30:00 PM,,OAKTON ST/MCCORMICK BL,SKOKIE
Thu,03/01/2018 05:29:00 PM,1700,FOSTER ST,EVANSTON
Wed,02/28/2018 11:18:00 PM,1100,MCDANIEL AV/GREENLEAF ST,EVANSTON
Wed,02/28/2018 10:19:00 AM,1800,HARTREY AV,EVANSTON
Wed,02/28/2018 09:37:00 AM,2200,EMERSON ST/HARTREY AV,EVANSTON
Wed,02/28/2018 08:09:00 AM,1900,EMERSON ST,EVANSTON
Tue,02/27/2018 04:46:00 PM,1900,FOSTER ST,EVANSTON
Tue,02/27/2018 12:50:00 PM,7422 N,WESTERN AVE,CHICAGO
Tue,02/27/2018 12:50:00 PM,7422 N,WESTERN AVE,CHICAGO
Tue,02/27/2018 12:00:00 PM,1700,SHERMAN AV,EVANSTON
Mon,02/26/2018 04:07:00 AM,2900,W BIRCHWOOD,CHICAGO
Mon,02/26/2018 01:02:00 AM,2000,WASHINGTON ST/BROWN AV,EVANSTON
Sun,02/25/2018 10:40:00 PM,800,DAVIS ST/SHERMAN AV,EVANSTON
Sun,02/25/2018 04:24:00 PM,2100,ASHLAND AV,EVANSTON
Sun,02/25/2018 04:24:00 PM,2100,ASHLAND AV,EVANSTON
Sun,02/25/2018 04:24:00 PM,2100,ASHLAND AV,EVANSTON
Sat,02/24/2018 09:21:00 PM,1000,HOWARD ST,EVANSTON
Sat,02/24/2018 04:30:00 AM,2000,DODGE AV,EVANSTON
Fri,02/23/2018 01:27:00 PM,800,DODGE AV,EVANSTON
Fri,02/23/2018 12:47:00 PM,1300,ASBURY AV,EVANSTON
Thu,02/22/2018 04:46:00 PM,1800,DEMPSTER ST,EVANSTON
Thu,02/22/2018 09:29:00 AM,8500,DRAKE AVE,SKOKIE
Wed,02/21/2018 06:56:00 PM,1100,MCDANIEL AV,EVANSTON
Tue,02/20/2018 06:53:00 PM,800,HOWARD ST,EVANSTON
Mon,02/19/2018 06:44:00 PM,1300,SHERMAN AV,EVANSTON
Sun,02/18/2018 08:01:00 PM,1700,MCCORMICK BL,SKOKIE
Sat,02/17/2018 06:29:00 PM,1700,SHERMAN AV,EVANSTON
Thu,02/15/2018 10:49:00 PM,1600,BENSON AV,EVANSTON
Wed,02/14/2018 07:54:00 PM,900,CHURCH ST,EVANSTON
Wed,02/14/2018 07:50:00 PM,2000,EMERSON ST,EVANSTON
Wed,02/14/2018 07:50:00 PM,2000,EMERSON ST,EVANSTON
Wed,02/14/2018 07:22:00 PM,2200,CHURCH ST,EVANSTON
Wed,02/14/2018 05:40:00 PM,2100,CHURCH ST,EVANSTON
Tue,02/13/2018 05:31:00 PM,1900,HOWARD ST/DODGE AV,EVANSTON
Tue,02/13/2018 05:15:00 PM,1500,SIMPSON ST,EVANSTON
Tue,02/13/2018 04:40:00 PM,2400,HOWARD ST,EVANSTON
Mon,02/12/2018 06:46:00 PM,500,HOWARD ST/CHICAGO AV,EVANSTON
Mon,02/12/2018 06:27:00 PM,,7600 N BELL,CHICAGO
Sun,02/11/2018 08:44:00 PM,400,RIDGE AV,EVANSTON
Sun,02/11/2018 08:44:00 PM,400,RIDGE AV,EVANSTON
Sat,02/10/2018 09:00:00 PM,700,MAIN ST,EVANSTON
Sat,02/10/2018 03:25:00 AM,100,ASBURY AV,EVANSTON
Sat,02/10/2018 02:33:00 AM,100,ASBURY AV,EVANSTON
Fri,02/09/2018 01:07:00 AM,1900,BRUMMEL ST/DODGE AV,EVANSTON
Thu,02/08/2018 11:12:00 PM,1700,SHERMAN AV,EVANSTON
Thu,02/08/2018 09:03:00 PM,1000,FOWLER AV/NATHANIEL PL,EVANSTON
Thu,02/08/2018 02:17:00 AM,300,DODGE AV,EVANSTON
Thu,02/08/2018 01:24:00 AM,1700,SHERMAN AV,EVANSTON
Wed,02/07/2018 06:10:00 PM,400,CUSTER AV,EVANSTON
Wed,02/07/2018 03:08:00 PM,3200,GRANT ST,EVANSTON
Wed,02/07/2018 02:58:00 PM,3200,GRANT ST,EVANSTON
Tue,02/06/2018 11:12:00 PM,100,ASBURY AV,EVANSTON
Tue,02/06/2018 09:32:00 AM,1800,FOSTER ST,EVANSTON
Sun,02/04/2018 10:45:00 PM,2400,MAIN ST,EVANSTON
Sun,02/04/2018 10:45:00 PM,2400,MAIN ST,EVANSTON
Sun,02/04/2018 06:15:00 PM,1200,CHICAGO AV,EVANSTON
Sun,02/04/2018 06:14:00 PM,1600,DODGE AV,EVANSTON
Sun,02/04/2018 01:37:00 AM,700,FOSTER ST/ORRINGTON AV,EVANSTON
Sat,02/03/2018 08:51:00 PM,1900,JACKSON AV,EVANSTON
Sat,02/03/2018 06:13:00 PM,2500,OAKTON ST,EVANSTON
Thu,02/01/2018 05:03:00 PM,1900,HOWARD ST,EVANSTON
Thu,02/01/2018 05:03:00 PM,1900,HOWARD ST,EVANSTON
Thu,02/01/2018 05:03:00 PM,1900,HOWARD ST,EVANSTON
Thu,02/01/2018 04:23:00 PM,2100,EMERSON ST,EVANSTON
Thu,02/01/2018 02:14:00 AM,200,CUSTER AV/CASE ST,EVANSTON
Wed,01/31/2018 10:22:00 PM,,MAIN/CHRISTIANA,SKOKIE
Wed,01/31/2018 05:45:00 PM,1700,FOSTER ST,EVANSTON
Wed,01/31/2018 03:59:00 AM,800,DAVIS ST,EVANSTON
Wed,01/31/2018 12:49:00 AM,1800,LAKE ST,EVANSTON
Tue,01/30/2018 03:23:00 PM,1400,NOYES ST,EVANSTON
Tue,01/30/2018 10:59:00 AM,600,CASE PL,EVANSTON
Tue,01/30/2018 02:50:00 AM,300,CALLAN AV,EVANSTON
Mon,01/29/2018 04:52:00 PM,1800,DEMPSTER ST,EVANSTON
Mon,01/29/2018 01:24:00 AM,100,CALLAN AV,EVANSTON
Sun,01/28/2018 08:40:00 PM,3100,NORMANDY PL/LAWNDALE AV,EVANSTON
Sun,01/28/2018 06:46:00 PM,300,HOWARD ST,EVANSTON
Sun,01/28/2018 05:58:00 PM,800,DODGE AV,EVANSTON
Sun,01/28/2018 02:53:00 PM,2100,GREEN BAY RD,EVANSTON
Sun,01/28/2018 01:47:00 PM,3200,GRANT ST,EVANSTON
Sat,01/27/2018 09:10:00 PM,1300,OAKTON ST/ASBURY AV,EVANSTON
Sat,01/27/2018 08:30:00 PM,1900,MCDANIEL AV,EVANSTON
Sat,01/27/2018 04:21:00 PM,1900,DARROW AV/EMERSON ST,EVANSTON
Sat,01/27/2018 01:56:00 AM,600,SHERIDAN SQ,EVANSTON
Fri,01/26/2018 11:47:00 PM,1200,HOWARD ST,EVANSTON
Fri,01/26/2018 10:45:00 PM,1600,CRAIN ST/FLORENCE AV,EVANSTON
Fri,01/26/2018 07:28:00 PM,7400,N CLARK,CHICAGO
Thu,01/25/2018 11:47:00 PM,1200,HOWARD ST,EVANSTON
Tue,01/23/2018 05:15:00 PM,200,RICHMOND AV,EVANSTON
Tue,01/23/2018 05:15:00 PM,200,RICHMOND AV,EVANSTON
Tue,01/23/2018 01:10:00 AM,1900,JACKSON AV,EVANSTON
Mon,01/22/2018 09:44:00 PM,1700,MAPLE AV,EVANSTON
Mon,01/22/2018 06:05:00 PM,900,CHICAGO AV,EVANSTON
Mon,01/22/2018 06:04:00 PM,1500,DARROW AV,EVANSTON
Sun,01/21/2018 10:15:00 PM,1700,W JUNEWAY,CHICAGO
Sun,01/21/2018 09:30:00 PM,,CHICAGO/ JONQUIL TERRACE,CHICAOGO
Sun,01/21/2018 06:12:00 PM,7600,N PAULINA,CHICAGO
Sun,01/21/2018 05:56:00 PM,7600,N PAULINA,CHICAGO
Sat,01/20/2018 08:44:00 PM,7400,WOLCOTT AV,CHICAGO
Sat,01/20/2018 08:44:00 PM,7400,WOLCOTT,CHICAGO
Sat,01/20/2018 12:52:00 AM,1300,LEE ST/ASBURY AV,EVANSTON
Fri,01/19/2018 09:04:00 PM,1800,LYONS ST,EVANSTON
Fri,01/19/2018 06:30:00 PM,1900,MC DANIEL AV,EVANSTON
Fri,01/19/2018 06:13:00 PM,300,DODGE AV,EVANSTON
Fri,01/19/2018 06:11:00 PM,300,DODGE AV,EVANSTON
Fri,01/19/2018 02:30:00 AM,200,LAKE ST,EVANSTON
Tue,01/16/2018 09:37:00 PM,1100,LEONARD PL,EVANSTON
Tue,01/16/2018 09:19:00 PM,1100,LEONARD PL,EVANSTON
Tue,01/16/2018 04:22:00 PM,1900,WESLEY AV,EVANSTON
Mon,01/15/2018 09:56:00 PM,1200,DARROW AV,EVANSTON
Mon,01/15/2018 09:56:00 PM,1200,DARROW AV,EVANSTON
Mon,01/15/2018 08:43:00 PM,700,HOWARD ST,EVANSTON
Mon,01/15/2018 07:34:00 PM,500,ASBURY AV,EVANSTON
Mon,01/15/2018 07:29:00 PM,500,ASBURY AV,EVANSTON
Mon,01/15/2018 07:18:00 PM,500,ASBURY AV,EVANSTON
Mon,01/15/2018 04:36:00 PM,600,HOWARD,
Mon,01/15/2018 02:11:00 PM,,HOWARD/MARSHFIELD,CHICAGO
Sun,01/14/2018 09:56:00 PM,1200,DARROW AV,EVANSTON
Sun,01/14/2018 08:37:00 PM,100,CHICAGO AV,EVANSTON
Sun,01/14/2018 06:33:00 PM,100,CHICAGO AV,EVANSTON
Sun,01/14/2018 02:15:00 AM,500,KEDZIE ST/HINMAN AV,EVANSTON
Sat,01/13/2018 11:20:00 PM,1700,SHERMAN AV,EVANSTON
Sat,01/13/2018 09:33:00 PM,400,HOWARD ST,EVANSTON
Sat,01/13/2018 06:25:00 PM,1700,HOWARD ST/PAULINA ST,CHICAGO
Sat,01/13/2018 05:00:00 PM,7600,N PAULINA,CHICAGO
Sat,01/13/2018 01:35:00 AM,1800,LAUREL AV,EVANSTON
Sat,01/13/2018 01:35:00 AM,1800,LAUREL AV,EVANSTON
Fri,01/12/2018 11:17:00 PM,1400,CLEVELAND ST,EVANSTON
Fri,01/12/2018 11:17:00 PM,1400,CLEVELAND ST,EVANSTON
Fri,01/12/2018 11:17:00 PM,1400,CLEVELAND ST,EVANSTON
Fri,01/12/2018 11:17:00 PM,1400,CLEVELAND ST,EVANSTON
Fri,01/12/2018 11:35:00 AM,3400,DEMPSTER,SKOKIE
Thu,01/11/2018 11:29:00 PM,1100,HOWARD ST,EVANSTON
Thu,01/11/2018 11:29:00 PM,1100,HOWARD ST,EVANSTON
Thu,01/11/2018 11:29:00 PM,1100,HOWARD ST,EVANSTON
Thu,01/11/2018 11:29:00 PM,1100,HOWARD ST,EVANSTON
Thu,01/11/2018 11:29:00 PM,1100,HOWARD ST,EVANSTON
Thu,01/11/2018 11:29:00 PM,1100,HOWARD ST,EVANSTON
Thu,01/11/2018 04:12:00 PM,2200,PRAIRIE AV/MCCORMICK BL,EVANSTON
Thu,01/11/2018 03:56:00 PM,2300,PRAIRIE AV/MC CORMICK BL,EVANSTON
Thu,01/11/2018 03:27:00 PM,1400,HOWARD ST,EVANSTON
Thu,01/11/2018 03:27:00 PM,1400,HOWARD ST,EVANSTON
Thu,01/11/2018 03:27:00 PM,1400,HOWARD ST,EVANSTON
Thu,01/11/2018 03:27:00 PM,1400,HOWARD ST,EVANSTON
Thu,01/11/2018 01:13:00 PM,1400,HOWARD ST,EVANSTON
Thu,01/11/2018 02:54:00 AM,1200,GREENWOOD ST/RIDGE AV,EVANSTON
Thu,01/11/2018 01:38:00 AM,1200,GREENWOOD ST/RIDGE AV,EVANSTON
Wed,01/10/2018 03:56:00 PM,2400,NATHANIEL PL,EVANSTON
Wed,01/10/2018 03:05:00 PM,1400,RIDGE AV/GREENWOOD ST,EVANSTON
Wed,01/10/2018 01:28:00 PM,400,RIDGE AV,EVANSTON
Wed,01/10/2018 01:30:00 AM,200,DODGE AV,EVANSTON
Tue,01/09/2018 05:35:00 PM,1000,UNIVERSITY PL,EVANSTON
Tue,01/09/2018 05:35:00 PM,1000,UNIVERSITY PL,EVANSTON
Tue,01/09/2018 05:35:00 PM,1000,UNIVERSITY PL,EVANSTON
Mon,01/08/2018 11:58:00 PM,1300,OAK AV,EVANSTON
Sun,01/07/2018 10:12:00 PM,1300,RIDGE AV/DEMPSTER ST,EVANSTON
Sun,01/07/2018 03:50:00 PM,800,CHICAGO AV,EVANSTON
Sat,01/06/2018 06:50:00 PM,1500,EMERSON ST/ASHLAND AV,EVANSTON
Sat,01/06/2018 05:34:00 PM,1500,EMERSON ST/ASHLAND AV,EVANSTON
Sat,01/06/2018 05:34:00 PM,1500,EMERSON ST/ASHLAND AV,EVANSTON
Sat,01/06/2018 05:34:00 PM,1500,EMERSON ST/ASHLAND AV,EVANSTON
Fri,01/05/2018 07:20:00 PM,1900,EMERSON ST,EVANSTON
Fri,01/05/2018 04:44:00 PM,1800,ASHLAND AV,EVANSTON
Tue,01/02/2018 12:30:00 AM,1500,WASHINGTON ST,EVANSTON
Sun,12/31/2017 03:13:00 PM,800,OAKTON ST/SHERMAN AV,EVANSTON
Sat,12/30/2017 03:56:00 PM,2100,GREENLEAF ST/GREY AV,EVANSTON
Sat,12/30/2017 03:56:00 PM,2100,GREENLEAF ST/GREY AV,EVANSTON
Sat,12/30/2017 03:56:00 PM,2100,GREENLEAF ST/GREY AV,EVANSTON
Thu,12/28/2017 06:22:00 AM,2400,EMERSON ST/LELAND AV,EVANSTON
Tue,12/26/2017 08:16:00 PM,2400,JACKSON AV,EVANSTON
Tue,12/26/2017 08:16:00 PM,2400,JACKSON AV,EVANSTON
Tue,12/26/2017 08:16:00 PM,2400,JACKSON AV,EVANSTON
Tue,12/26/2017 08:16:00 PM,2400,JACKSON AV,EVANSTON
Sun,12/24/2017 07:47:00 AM,800,HOWARD ST,EVANSTON
Sat,12/23/2017 10:45:00 PM,2000,GREEN BAY RD,EVANSTON
Fri,12/22/2017 05:55:00 PM,2000,EMERSON ST,EVANSTON
Fri,12/22/2017 04:15:00 PM,1800,HARTREY AV/LYONS ST,EVANSTON
Thu,12/21/2017 09:10:00 PM,7300,N. CLARK,CHICAGO
Thu,12/21/2017 02:30:00 PM,2600,EMERSON,
Thu,12/21/2017 11:15:00 AM,200,KEENEY ST,EVANSTON
Mon,12/18/2017 08:53:00 AM,1300,FOWLER AV,EVANSTON
Sun,12/17/2017 02:29:00 AM,1400,BROWN AV,EVANSTON
Sat,12/16/2017 11:15:00 PM,1100,HOWARD ST,EVANSTON
Sat,12/16/2017 09:51:00 PM,1800,GREY AV,EVANSTON
Fri,12/15/2017 12:49:00 PM,1800,LELAND AV,EVANSTON
Fri,12/15/2017 10:54:00 AM,1800,LELAND AV,EVANSTON
Thu,12/14/2017 09:21:00 PM,700,FLORENCE AV,EVANSTON
Thu,12/14/2017 06:16:00 PM,700,FLORENCE AV,EVANSTON
Thu,12/14/2017 06:13:00 PM,700,FLORENCE AV,EVANSTON
Thu,12/14/2017 06:13:00 PM,700,FLORENCE AV,EVANSTON
Wed,12/13/2017 09:10:00 AM,1500,SHERMAN AV,EVANSTON
Tue,12/12/2017 03:55:00 PM,1100,CHURCH ST,EVANSTON
Mon,12/11/2017 11:31:00 PM,2100,JACKSON AV,EVANSTON
Sun,12/10/2017 11:51:00 PM,2000,HOWARD ST/SEELEY AV,CHICAGO
Sun,12/10/2017 03:18:00 AM,800,DAVIS ST,EVANSTON
