Arrest Key,Relates Incident Number,Day of the Week,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Arrest Type,Weapon Code,Street Number,Street Name,City,Location
49561,18010785,Wed,12/05/2018 12:00:00 AM,1119,58,Male,Black,,Taken into Custody,Personal (Hands/Fist/Feet),1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49562,18010825,Thu,12/06/2018 12:00:00 AM,122,20,Male,White,,On View,None,700,EMERSON ST/ORRINGTON AV,EVANSTON,"(42.05206224624745, -87.68074368405021)"
49568,18010953,Sat,12/08/2018 12:00:00 AM,2223,38,Male,White,,Taken into Custody,None,1800,HOWARD ST,EVANSTON,"(42.01934340067625, -87.69886437507385)"
49570,18010890,Sat,12/08/2018 12:00:00 AM,24,57,Male,Black,,Taken into Custody,None,1100,CHICAGO AV,EVANSTON,"(42.03841094441211, -87.68025391495762)"
49573,18011006,Tue,12/11/2018 12:00:00 AM,1122,46,Male,White,,Taken into Custody,,1500,OAKTON ST,EVANSTON,"(42.0266826056222, -87.69403432961268)"
49575,18010885,Fri,12/07/2018 12:00:00 AM,2042,16,Male,Black,Not Hispanic,Taken into Custody,,1600,DODGE AV,EVANSTON,"(42.04771286124296, -87.69900335431777)"
49576,18011065,Wed,12/12/2018 12:00:00 AM,1821,25,Female,Black,,On View,None,300,CHICAGO AV,EVANSTON,"(42.02481706824564, -87.67764492670258)"
49577,18011047,Wed,12/12/2018 12:00:00 AM,1256,59,Female,White,Not Hispanic,,None,7600,N SHERIDAN RD,CHICAGO,
49578,18011085,Thu,12/13/2018 12:00:00 AM,1033,21,Male,Black,Not Hispanic,Taken into Custody,None,2000,GREEN BAY RD,EVANSTON,"(42.05489847420959, -87.69097062478913)"
49579,18011068,Wed,12/12/2018 12:00:00 AM,1850,46,Male,Asian,,On View,Handgun,2400,MAIN ST,EVANSTON,"(42.033695899617555, -87.70787166189695)"
49580,18011122,Fri,12/14/2018 12:00:00 AM,1403,59,Male,Black,,On View,None,,DEMPSTER ST/MCDANIEL AV,EVANSTON,
49581,18011120,Fri,12/14/2018 12:00:00 AM,1409,59,Male,Black,,Warrant,None,,DEMPSTER ST/MCDANIEL AV,EVANSTON,
49582,18011119,Fri,12/14/2018 12:00:00 AM,2203,34,Female,Black,,Taken into Custody,Sharp Object,2700,RIDGE AV,EVANSTON,"(42.06747071840131, -87.6829566385919)"
49583,18011163,Sat,12/15/2018 12:00:00 AM,1624,29,Female,White,,Taken into Custody,None,1600,CHICAGO AV,EVANSTON,"(42.04696509074048, -87.6792851502086)"
49584,18011161,Sat,12/15/2018 12:00:00 AM,1930,34,Male,White,,On View,None,100,ASBURY AVE,,"(42.02053223313827, -87.69015316502616)"
49585,18011098,Thu,12/13/2018 12:00:00 AM,1559,45,Male,White,,,None,1300,HOWARD ST,EVANSTON,"(42.01950563970092, -87.69126988978809)"
49586,18011129,Fri,12/14/2018 12:00:00 AM,1536,57,Male,White,,,None,1900,GREEN BAY RD,,"(42.0530940049027, -87.68957036365988)"
49587,18011183,Sun,12/16/2018 12:00:00 AM,2255,61,Male,Black,Not Hispanic,Taken into Custody,None,1700,MAPLE AV,EVANSTON,"(42.049245869685386, -87.68479294319997)"
49588,18011181,Sun,12/16/2018 12:00:00 AM,1750,56,Male,Black,Not Hispanic,,None,1300,RIDGE AV,EVANSTON,"(42.04200340988038, -87.68840022531144)"
49589,18011234,Mon,12/17/2018 12:00:00 AM,1700,24,Male,White,,,None,400,ASBURY AV,EVANSTON,"(42.02585323613883, -87.69008895718044)"
49590,18011277,Wed,12/19/2018 12:00:00 AM,204,21,Male,Black,,On View,None,600,CHICAGO AV,EVANSTON,"(42.029984911145235, -87.67857116649239)"
49591,18011172,Sat,12/15/2018 12:00:00 AM,2141,16,Male,White,,,None,1900,BRUMMEL ST/DODGE AV,EVANSTON,"(42.02113584434865, -87.70014275247874)"
49592,18011257,Tue,12/18/2018 12:00:00 AM,1158,61,Male,Black,Not Hispanic,Taken into Custody,None,9600,LINCOLNWOOD,SKOKIE,
